Reference,Qty,Value,Footprint,MPN,Manufacturer,LCSC,LC_Stock,Chosen_Distributor,Datasheet,Validated,DNP,Notes
C1,1,4.7µF,1206,,,,,,,,,
C3,1,1.8nF,0603,,,,,,,,,
C4,1,8.2pF,0603,,,,,,,,,
"C5,C6,C7",3,47µF,1206,,,,,,,,,
C9,1,1µF,0603,,,,,,,,,
"C11,C8,C22,C12,C18,C20,C16",7,10µF,0603,,,,,,,,,
"C15,C14",2,2.2µF,0603,,,,,,,,,
"C21,C13,C17,C19",4,0.1µF,0603,CC0603KRX7R9BB104,Yageo,C14663,,,,,,
"C23,C24",2,2.2nF,0603,,,,,,,,,
"C32,C2,C25,C31,C27,C33,C28,C10,C30,C26,C29",11,100nF,0603,,,,,,,,,
D1,1,SMBJ18CA,SMB,,,,,,,,,
D2,1,B560C-13-F,SMC_L7.1-W6.2-LS8.1-RD,,,,,,,,,
D3,1,BAT54CLT1G,SOT-23,,,,,,,,,
FB1,1,600R,0603,,,,,,,,,
J1,1,Conn_02x03_Odd_Even,Molex_Mini-Fit_Jr_5566-06A_2x03_P4.20mm_Vertical,1724470206,Molex,,,,,,,
J2,1,Conn_02x02_Counter_Clockwise,Molex_Mini-Fit_Jr_5566-04A_2x02_P4.20mm_Vertical,1724470204,Molex,,,,,,,
J3,1,PJ-320B,BOOMELE_PJ-320B,PJ-320B,Luoyang Dishang electronics,,,,,,,
J4,1,Conn_02x20_Odd_Even,PinSocket_2x20_P2.54mm_Vertical,,,,,,,,,
L1,1,2.2µH,IND-SMD_L7.0-W6.6,,,,,,,,,
Q1,1,AO4407A,SOIC127P600X175-8N,,,,,,,,,
Q2,1,MMBT3904,TSOT-23,,,,,,https://www.onsemi.com/pdf/datasheet/pzt3904-d.pdf,,,
R1,1,23.7kΩ,0603,,,,,,,,,
R2,1,80.6kΩ,0603,,,,,,,,,
R3,1,60.4kΩ,0603,,,,,,,,,
R4,1,11.5kΩ,0603,,,,,,,,,
R5,1,84.5kΩ,0603,0603WAF8452T5E,UNI-ROYAL(Uniroyal Elec),C23118,,,,,,
"R6,R12",2,22kΩ,0603,0603WAF2202T5E,UNI-ROYAL(Uniroyal Elec),C31850,,,,,,
R7,1,1kΩ,0603,0603WAF1001T5E,UNI-ROYAL(Uniroyal Elec),C21190,,,,,,
R8,1,47kΩ,0603,0603WAF4702T5E,UNI-ROYAL(Uniroyal Elec),C25819,,,,,,
R10,1,100kΩ,0603,0603WAF1003T5E,UNI-ROYAL(Uniroyal Elec),C25803,,,,,,
"R13,R14",2,470Ω,0603,0603WAF4700T5E,UNI-ROYAL(Uniroyal Elec),C23179,,,,,,
"R18,R15,R16,R23,R9,R17,R26,R24,R25",9,10kΩ,0603,0603WAF1002T5E,UNI-ROYAL(Uniroyal Elec),C25804,,,,,,
"R20,R19,R22,R11,R21",5,4.7kΩ,0603,0603WAF4701T5E,UNI-ROYAL(Uniroyal Elec),C23162,,,,,,
U1,1,TPS54560BQDDARQ1,Texas_R-PDSO-G8_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias,,,,,,https://www.ti.com/lit/ds/symlink/tps54560b.pdf,,,
U2,1,TL431DBZ,SOT-23,,,,,,http://www.ti.com/lit/ds/symlink/tl431.pdf,,,
U3,1,PCM5122PWR,TSSOP-28_4.4x9.7mm_P0.65mm,,,,,,,,,
U4,1,AP2112K-3.3,SOT-23-5,,,,,,https://www.diodes.com/assets/Datasheets/AP2112.pdf,,,
U5,1,ADS1115IDGSR,SOP50P490X110-10N,,,,,,,,,
U6,1,LTV-847S,SMDIP-16_W9.53mm,,,,,,http://www.us.liteon.com/downloads/LTV-817-827-847.PDF,,,
